salesDocItemCategory,uoM,description,billQtyChar,billRateChar,billTotalChar,payQtyChar,payRateChar,payTotalChar,priceChar,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
ZSCE,BCK,BACKGROUND,,,BACKGROUND_CHECK,,,,BACKGRND_CHECK,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCE,DRG,DRUG,,,DRUG_SCREENING,,,,DRUG_SCREEN,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCE,EA,EACH,,,SC_TRAVEL_EXPENSE,,,,SC_EXPENSE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCE,EXP,EXPENSE,,,SC_TRAVEL_EXPENSE,,,,SC_EXPENSE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCE,UL,UNLIMITED,,,UNLIMITED_PRICE,,,,UNLIMITED_EXP,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,DA,DAY,SC_DAILY_PAY_DAYS,SC_DAILY_PRICE,SC_DAILY_TOTAL_RATE,SC_DAILY_PAY_DAYS,SC_DAILY_PAY_VENDOR,SC_DAILY_TOTAL_VENDOR,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,EA,EACH,YY269_EACH,EACH_PRICE,EACH_TOTAL_PRICE,YY269_EACH,EACH_PAY_RATE,EACH_TOTAL_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,HR,HOUR,YY270_HOUR,HOUR_PRICE,HOUR_TOTAL_PRICE,YY270_HOUR,HOUR_PAY,HOUR_TOTAL_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,MN,MINUTE,YY271_MINUTE,MINUTE_PRICE,MINUTE_TOTAL_PRICE,YY271_MINUTE,MINUTE_PAY,MINUTE_TOTAL_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,MO,MONTH,YY272_MONTH,MONTH_PRICE,MONTH_TOTAL_PRICE,YY272_MONTH,MONTH_PAY,MONTH_TOTAL_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,PC,PIECE,PIECE,PIECE_PRICE,PIECE_TOTAL_PRICE,PIECE,PIECE_PAY,PIECE_TOTAL_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,PJ,PROJECT,,,PROJECT_AMOUNT,,,PROJECT_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,SA,SALARY,,,SALARY,,,SALARY_PAY_VENDOR,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,SM,SEMI-MONTHLY,SEMI_MONTH,SEMI_MONTH_PRICE,SEMI_MONTH_TOTAL_PRICE,SEMI_MONTH,SEMI_MONTH_PAY,SEMI_TOTAL_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,UL,UNLIMITED,,,UNLIMITED_PRICE,,,UNLIMITED_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
ZSCL,WK,WEEK,WEEK,WEEK_PRICE,WEEK_TOTAL_PRICE,WEEK,WEEK_PAY,WEEK_TOTAL_PAY,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71144,SUOM
